group,horizon_days,n,positive_rate,negative_rate,mean_return,median_return,avg_winner,avg_loser,median_winner,median_loser,bottom_10pct,bottom_5pct,worst_return,median_mae,median_mfe,mean_mae,mean_mfe,universe_label,bucket
C,3,4078,0.5255026974006866,0.4744973025993134,0.00020760450123042095,0.00114607801931285,0.014143043446274907,-0.015225804108190938,0.0112969802314668,-0.0115560333216653,-0.02336431469641202,-0.03293227604699299,-0.1197387518142386,-0.01056438719290055,0.01073224892448725,-0.01456419408808552,0.013639074587425718,XLB,non_spy_etf
C,5,4078,0.5424227562530652,0.45757724374693476,0.0008392813904996718,0.00223833821690705,0.018745690682035025,-0.020387394575671926,0.0149109384590868,-0.014617707154114649,-0.032029659216855286,-0.04440994875871232,-0.1535391165512512,-0.01376657385111675,0.014491650272926801,-0.019343985090567294,0.018413797864197463,XLB,non_spy_etf
C,10,4078,0.5622854340362923,0.4377145659637077,0.002555173012983212,0.00516508440137505,0.027141611917159456,-0.029028414890252714,0.0220349967632471,-0.0212044105128623,-0.04348107901950934,-0.06237813415255586,-0.2536284470232033,-0.01958247868540965,0.02208097324473655,-0.02792780111092551,0.027274365991015254,XLB,non_spy_etf
C,20,4078,0.5929377145659637,0.4070622854340363,0.0061026279339478455,0.0097659552200561,0.03784672433985571,-0.040136664300681794,0.030965305349881102,-0.028500082322052853,-0.05497032470670469,-0.08259180483616568,-0.3415185507226503,-0.0279810595558484,0.0336481604860835,-0.039587127614137047,0.04028296165510484,XLB,non_spy_etf
D,1,831,0.48736462093862815,0.5126353790613718,-0.0005126116850171489,0.0,0.00723305567462968,-0.007876450372005331,0.0055772448407294,-0.00602757823545815,-0.0126195028613174,-0.0162916781089021,-0.0503078276168739,-0.0059245960515099,0.0050117462793948,-0.007928537529874793,0.006710211159156549,XLB,non_spy_etf
D,3,831,0.4993983152827918,0.5006016847172082,-0.0009975596072080558,0.0,0.013247351752241041,-0.015208228391273863,0.009808500700384,-0.0112162900015449,-0.0238095238107545,-0.03307372368651995,-0.088314758526794,-0.0119672131148111,0.0097377304589347,-0.015224104749939522,0.013073467886232903,XLB,non_spy_etf
D,5,831,0.49338146811071,0.50661853188929,-0.0015085763646456518,-0.0003279763874798,0.017637970225799122,-0.02015485689215719,0.0141234983522745,-0.0141955836013146,-0.0323529411755869,-0.04452563887721505,-0.0982127943867309,-0.0151604646606151,0.0135842605377876,-0.020378460093369327,0.01728671768691383,XLB,non_spy_etf
D,10,831,0.5114320096269555,0.48856799037304455,-0.0020803596756271176,0.0011317338131831,0.02446693661251767,-0.029870017120113657,0.0190245589757391,-0.02155936171943395,-0.0447427293075527,-0.06712672769788315,-0.201556224896953,-0.0214410100110206,0.0195169281639515,-0.03017708461020611,0.02484624568422513,XLB,non_spy_etf
D,20,831,0.5391095066185319,0.4608904933814681,-0.002151597317166485,0.0039057640738835,0.032357149108979535,-0.04251691950754094,0.02629825019752595,-0.0338251799789063,-0.062598301353613,-0.09726821909950376,-0.1967871485923477,-0.03130413389542,0.0299678046867628,-0.04418301552226114,0.03564827220595155,XLB,non_spy_etf
A,1,1627,0.5242778119237861,0.4757221880762139,0.00021537060271446392,0.0005818181816283,0.007894816077274703,-0.008247894241988228,0.0060768543344786,-0.0061760876514386,-0.012893613104155497,-0.018436083333320988,-0.0618147888973314,-0.0056866406385925,0.0058346378267579,-0.007975246424515643,0.007660776022895098,XLC,non_spy_etf
